pH,OrganicCarbon,Nitrogen,Phosphorus,Potassium,Sand,Silt,Clay,SoilType
8.04,0.2,65.7,68.2,192.7,58.6,24.2,18.4,Saline Soil
8.56,0.12,54,69.1,187.6,60.9,23.2,22.1,Saline Soil
4.76,0.41,79.5,58.4,165.3,20.5,13.6,54.9,Laterite Soil
8.94,0.18,56.5,52.5,163.1,51.7,18.9,24.7,Saline Soil
8.96,0.22,77.9,66.9,172.2,50.7,18.9,23.4,Saline Soil
6.4,0.52,109.7,98.3,193.6,39.3,22.5,45.7,Red Soil
8.25,0.14,44.9,60.3,168.9,74.8,13.2,8.5,Arid Soil
7.44,0.81,166.6,210.5,285.6,30.6,42.5,28,Alluvial Soil
4.34,2.34,300.9,168.8,222.6,5.3,26.7,60.3,Peaty Soil
8.45,0.29,43.5,69.6,171.4,80.7,7.1,9.1,Arid Soil
5.06,1.32,248,156.5,212.7,23.3,51.9,21,Forest Soil
7.99,1.19,105.9,117.5,343.8,10.9,22.1,70.8,Black Soil
8.06,1.06,114.8,94.9,320.5,17.2,27.3,68.8,Black Soil
7.51,0.23,55.7,53.4,155.4,71.2,9.1,12.7,Arid Soil
7.66,0.14,51.2,74.8,191.8,75.4,11,7.9,Arid Soil
5.33,2.34,306.8,205.2,300,13.6,28,66.1,Peaty Soil
8.18,0.22,74.8,46.5,196.6,50.5,21,21,Saline Soil
5.99,0.49,85.4,56.5,162.3,23.4,19.4,60.2,Laterite Soil
6.3,1.15,241.6,167.1,203.4,18.8,47,23,Forest Soil
6.78,0.34,92.8,75.9,219.5,32.2,23.4,40.6,Red Soil
8.02,1.05,127.7,91.7,376.2,15.2,24,60.7,Black Soil
5.26,1.14,177,120.2,273.4,21.4,58.3,20.4,Forest Soil
7.6,0.22,57.3,57.5,190.1,75.1,13.3,12.8,Arid Soil
7.17,0.67,128.7,265.2,282.8,38.2,43,26.5,Alluvial Soil
6.14,0.41,93.5,99.4,225.1,37.8,29.5,47.4,Red Soil
8.12,0.25,53,43,158.3,58.9,21.1,21.6,Saline Soil
6.2,0.5,91.9,77.8,221.1,34.8,22.6,46.1,Red Soil
8.46,0.23,67.6,61.9,188.7,53,17.9,21.5,Saline Soil
7.81,0.23,43.2,76,172.2,74.6,9.2,5.3,Arid Soil
8.99,0.28,75.8,64.9,201.4,63.3,22.7,18.2,Saline Soil
6.19,0.48,92.6,90.7,198.6,32.3,23.5,44.7,Red Soil
4.39,2.93,281.7,213,251.5,6.8,29,70.7,Peaty Soil
5.63,0.47,97.4,71.7,228.6,34.9,26.2,47.5,Red Soil
6.33,1.04,243.5,178.3,253.1,23.5,43.3,22.1,Forest Soil
7.05,0.78,139.8,299.5,285.8,34.6,38.4,23.7,Alluvial Soil
5.25,2.49,285.4,160.6,243,12.1,25.1,67.1,Peaty Soil
6.88,0.86,154.5,244.5,296.7,38.8,37.4,23.2,Alluvial Soil
7.53,0.13,65.7,51.1,150.2,77.9,10.4,12.4,Arid Soil
7.96,0.25,64.2,51.5,174.8,84.9,8.4,11.5,Arid Soil
6.08,1.07,210,139.8,277.4,18.9,49.6,28.3,Forest Soil
4.56,0.25,78.7,57.5,105.1,26.2,11.2,65.4,Laterite Soil
8.07,1.02,130.7,116.3,331.7,11.4,22.6,63.1,Black Soil
6.19,0.44,93.9,76.5,243.3,32.8,23.1,47.4,Red Soil
5.14,1.4,247.4,142.2,235.6,15.6,46.5,29.2,Forest Soil
5.94,0.5,90.8,93.9,219,36.1,27.8,46.5,Red Soil
7.38,0.72,139.5,241.1,266.6,36,41.2,21.7,Alluvial Soil
8.37,1.19,101.7,107.6,351.1,18.7,22.4,60.2,Black Soil
8.31,0.99,101.4,95,342.7,18.9,27.6,60.4,Black Soil
7.22,0.62,133.9,242.5,317.3,37.9,36.6,28.8,Alluvial Soil
4.38,2.86,317.1,207.1,259.7,15,26.2,66,Peaty Soil
6.24,0.36,91.8,96.1,181.6,32.8,27.3,40.5,Red Soil
5.63,1.95,196.3,149.3,278.9,15.4,49.3,24.4,Forest Soil
5.59,2.72,266.2,160.2,277.9,9.4,20.7,62.4,Peaty Soil
7.88,1.1,138.8,118.1,386.9,13.5,21.6,71.7,Black Soil
8.26,0.25,65.3,65.2,186,82.3,6.4,10,Arid Soil
6.69,0.7,178.4,202.1,302.6,34.9,44.1,28.2,Alluvial Soil
7.32,0.66,147,252.7,328.9,34.1,37.2,24.3,Alluvial Soil
5.66,0.41,84.2,78,190.1,32.4,22,47.8,Red Soil
6.93,0.75,134.4,270.9,262.4,34.5,36.5,25.5,Alluvial Soil
6.7,0.65,128.5,272,346.5,39,44.5,26.6,Alluvial Soil
4.88,0.45,67.3,50.6,150.5,27.5,19.7,69.4,Laterite Soil
8.11,0.13,47.6,74.3,169,79.3,14,14.6,Arid Soil
6.76,0.48,89.1,76.6,218.2,35.8,22.1,40.2,Red Soil
8.28,0.17,61.5,72.4,168.4,72.6,14.3,11.3,Arid Soil
5.9,1.48,177.5,158.7,247.9,19.9,53.5,26.2,Forest Soil
8.05,1.04,136.6,81.3,365.1,17.8,26.4,69.8,Black Soil
8.05,0.19,60.8,65.5,198.7,55.4,18.4,16.2,Saline Soil
8.31,0.21,41.8,61.2,183.4,82.3,13.5,14.1,Arid Soil
4.91,2.37,296.5,187.5,220.3,6,22.5,67.5,Peaty Soil
5.89,1.19,186.2,172.6,270.3,20.2,47.9,21.5,Forest Soil
7.12,0.76,169.9,215.5,326,39.4,36.7,23.7,Alluvial Soil
6.87,0.5,101.7,91.6,206.8,35.9,21.6,45.4,Red Soil
8.31,0.13,62.8,67,212.5,51.6,20.2,20.3,Saline Soil
5.56,1.86,157.5,156.5,276.8,18.2,51.8,27.3,Forest Soil
8.02,0.87,115.5,101.6,307.4,15,27.5,63.7,Black Soil
6.36,0.44,82.2,73.4,182.6,35,25.8,47,Red Soil
7.95,1.09,123.8,110.5,391,13.1,24.4,70.2,Black Soil
5.94,0.6,119.6,72.6,181.7,31.2,28.2,43.5,Red Soil
4.58,2.03,325.9,249.6,245,8.4,26.4,70.2,Peaty Soil
7.97,0.2,50.3,75.2,183.2,78.5,8.8,12.5,Arid Soil
6.88,0.78,138.7,226.2,348.1,31.7,41.6,23.7,Alluvial Soil
4.03,2.92,262.5,193.2,266.4,14.3,26.4,74.8,Peaty Soil
7.67,0.88,125.9,108.5,322.1,12.2,26.4,67.1,Black Soil
7.73,1.18,120,101,389.1,16.9,21.3,62.2,Black Soil
6.36,1.46,208.1,157.6,238.6,21.2,44.7,20.7,Forest Soil
7.55,0.1,48.7,55.1,189,70.9,5.1,11.3,Arid Soil
5.33,1.13,192.7,124.8,224.7,23.7,56.1,26,Forest Soil
6.2,0.4,99.6,86,240.1,33,25.9,45.6,Red Soil
5.13,0.36,80.8,68.4,137.2,27.7,18.8,53.1,Laterite Soil
8.33,0.15,65.4,58.5,174.2,51.3,19,16.6,Saline Soil
8.48,0.98,113,109.9,345.7,11.1,27.6,61.3,Black Soil
7.53,0.2,51.5,60,173.7,74.6,9.7,9.8,Arid Soil
8.35,0.18,66.4,60.2,175.7,83.6,14.9,10.7,Arid Soil
6.43,1.13,225.8,121.3,261.3,15.5,52.4,20.8,Forest Soil
5.72,2.58,300.4,158.2,214.5,11,23.4,68.7,Peaty Soil
7.49,0.82,165.9,229.5,329.7,37.6,37.3,28.6,Alluvial Soil
6.83,0.85,142.8,235.8,283.6,35.6,36.6,29.4,Alluvial Soil
6,2.21,256.5,245.5,201.4,12.2,24.1,67.5,Peaty Soil
5.34,0.2,61.2,66,129.1,23.2,13.3,65.4,Laterite Soil
5.05,2.32,347.5,177.4,292.2,11.9,20.4,63,Peaty Soil
5.64,2.82,345.5,239.6,201.8,8.4,20.9,64,Peaty Soil
7.94,0.24,46.3,65.3,151.1,77.2,7,9.1,Arid Soil
5.77,1.22,162.4,151.4,254,20,52.1,29,Forest Soil
5.52,0.43,64.4,74.3,172.4,27.8,16.2,51.6,Laterite Soil
4.44,2.66,293.4,243,214.2,10.1,24.9,65.4,Peaty Soil
4.78,0.35,75.5,65.7,124.7,22.1,18.8,61.6,Laterite Soil
7.94,0.9,100.9,95.9,332.9,11.6,27.9,74.9,Black Soil
8.49,0.28,50.7,56,172.7,72.4,12.8,14.6,Arid Soil
5.06,0.2,86,67.2,170.4,22.4,14.4,60.3,Laterite Soil
7.6,0.93,132.4,110.7,330.7,17.6,24.6,73.7,Black Soil
6.43,0.56,98.6,81.9,203.8,39,20.6,49.5,Red Soil
7.82,0.93,135.5,104,300.6,11.6,20.8,64,Black Soil
8.98,0.19,69.2,44.7,215.4,58,15.3,21.7,Saline Soil
6.93,0.9,167.5,253.4,270.3,31.3,44,26.5,Alluvial Soil
6.52,0.68,150.1,267.6,291.5,37.1,40.1,27.8,Alluvial Soil
4.06,2.2,339.5,200.5,259.8,13.9,20,62.6,Peaty Soil
5.8,1.08,196.8,141.6,234.1,19.7,44.6,24.8,Forest Soil
5.37,1.06,237.8,159.1,237.9,21.2,59.4,28.7,Forest Soil
6.7,0.35,82.3,97.4,238.6,32.2,22.5,41,Red Soil
6.63,0.54,95.3,77.6,210.2,32.5,21,42.7,Red Soil
6.98,0.81,145.9,224.7,253.1,37.2,38,20.8,Alluvial Soil
8.15,1.15,112,103.4,378.5,15.8,21.9,66.1,Black Soil
5.98,0.51,94,73.6,230.6,37.6,27.6,45.9,Red Soil
5.88,0.36,109.9,72.6,193.8,30,24.5,47.6,Red Soil
8.02,0.11,48.4,51.7,182.8,77.7,12.5,5.2,Arid Soil
6.42,1.37,154.5,140.5,251.8,24.1,47.6,27.9,Forest Soil
8.94,0.13,58.3,42.3,171.8,58.8,20.1,18.9,Saline Soil
5.43,2.07,336.9,176.3,239.3,13.7,25,73.6,Peaty Soil
5.18,1,229,176.5,211.5,18.1,43.8,28.5,Forest Soil
5.94,0.6,115.4,98.5,205.8,37.7,29.8,45.1,Red Soil
8,0.84,137,108.6,378.7,16,21.8,67.1,Black Soil
4.62,2.84,346.5,222.1,291.8,14.7,20.4,74.8,Peaty Soil
7.6,0.26,55.1,77.8,199.9,84.9,10.4,10.3,Arid Soil
8.14,0.27,71.8,68.2,170.4,54.4,18.2,19.3,Saline Soil
8.92,0.28,59.8,59.9,216.8,53.2,16.7,19.8,Saline Soil
4.66,2.29,326.4,225.8,230.9,6.3,28.4,70.6,Peaty Soil
5.79,0.33,62.3,50.4,157.6,27.6,13.6,67,Laterite Soil
8.37,1.01,113.5,102.3,360.9,16.5,25.9,71.7,Black Soil
8.09,0.14,45.1,67.2,195.5,79.3,6.2,9.2,Arid Soil
7.49,0.88,154.8,232.3,307.6,35.6,41.5,22.4,Alluvial Soil
7.51,0.25,57.3,60.2,159.9,83.7,7.6,11,Arid Soil
6.03,1.75,211.7,123.7,262.1,18.6,51.6,24.1,Forest Soil
5.04,1.57,221.5,130.2,228.6,21.8,44.4,21.9,Forest Soil
6.19,1.12,161.4,134.9,269.7,24.7,51.1,26.3,Forest Soil
8.48,0.29,53.2,65.7,160.6,73.7,13.8,7.8,Arid Soil
6.3,0.37,84.5,76.8,210.9,34.1,29.6,40.8,Red Soil
4.25,2.32,299.3,194.6,204.7,7.8,25.6,75,Peaty Soil
4.89,0.39,83.1,70.2,173,26.9,13.7,59.8,Laterite Soil
5.05,1.72,169.7,132.2,250.6,19.8,43.3,20.2,Forest Soil
5.93,0.26,76.9,70.4,123.9,27.8,16.2,67.2,Laterite Soil
8,0.24,75,66.8,194.9,56.4,20.1,18,Saline Soil
5.39,0.36,74.9,54.1,133.4,25,15.9,52.6,Laterite Soil
6.61,0.87,135,240.4,340.1,34.4,35.6,21.9,Alluvial Soil
7.67,0.82,131.9,105,338.6,13.2,25.3,72.9,Black Soil
5.1,1.41,184.6,161.2,231.6,17.6,50,27.5,Forest Soil
8.27,1.18,120,89.3,335.9,16.7,21,66,Black Soil
5.88,2.32,335.2,231.9,205.4,13.6,22.2,62.7,Peaty Soil
7.48,0.85,131.2,278.6,307.7,39.8,35.2,20.6,Alluvial Soil
6.33,1.52,203.8,132.2,221.8,23.4,59.4,28.8,Forest Soil
8.19,0.92,132.3,117.4,314.8,10.7,25.2,63.7,Black Soil
8.53,0.23,56.5,61.3,167,58,17.8,18,Saline Soil
5.76,0.46,70.4,76.9,126.5,23.6,12.4,51.9,Laterite Soil
5.57,2.11,270.2,221.5,240.4,12.5,21.3,63.4,Peaty Soil
5.25,0.21,71.4,52.3,148.9,28.7,19.2,64.1,Laterite Soil
7.66,0.25,58.2,58.5,179.8,73.5,6.6,14,Arid Soil
4.8,0.38,76.8,61.9,114.3,26.1,11.9,56,Laterite Soil
5.59,0.42,76.3,70.5,158.1,29.1,15.8,66.3,Laterite Soil
7.95,0.82,136.2,96.1,353.8,17.9,28.3,65.4,Black Soil
5.71,0.29,65.8,65.2,158.4,28.5,10.5,66.9,Laterite Soil
8.35,0.96,123.2,118.6,306.2,16.4,20.9,70.1,Black Soil
5.13,0.29,72.3,78.5,179.4,26.9,16.1,52.4,Laterite Soil
8.39,0.24,48.4,62,153.9,70.2,13.6,5.4,Arid Soil
5.72,2.97,279.7,197.2,278.2,10.5,27.8,74.5,Peaty Soil
5.31,0.2,69.8,76.6,117.9,26.7,10.4,65.3,Laterite Soil
7.63,0.21,53.9,70.6,161.4,79.2,14.3,14.5,Arid Soil
5.82,0.48,67.5,59.4,123.7,23.2,13.2,56.1,Laterite Soil
5.29,1.92,159.8,126.9,208.4,21,47.1,25,Forest Soil
5.85,0.58,87.9,76.4,213.1,32.6,22.3,42.9,Red Soil
7.06,0.76,129.1,285.8,332.8,33.2,36,26.9,Alluvial Soil
7.14,0.84,173.8,239,288.7,32.6,43.1,29.2,Alluvial Soil
5.74,0.54,94.2,75,206,37.6,20.1,46.3,Red Soil
7.11,0.73,123.6,286.9,257.9,38.4,42.1,27.5,Alluvial Soil
5.28,1.49,201.4,130.1,206.6,18,45.8,29.7,Forest Soil
4.79,0.36,76.6,68.8,151.3,20.8,15.2,55.9,Laterite Soil
8.04,0.29,52.1,73.8,156.8,76,8.9,8.7,Arid Soil
6.63,0.66,159.2,283.6,328.6,31.9,37.9,20.5,Alluvial Soil
4.96,0.36,66.4,60.3,123.2,20.1,15.9,62.9,Laterite Soil
6.87,0.31,89.7,80.6,191.9,30.4,29.3,45,Red Soil
7.7,1.06,129.6,117.3,356.6,17.2,28.4,64.6,Black Soil
8.42,0.17,42.9,70.8,191.6,84,8.5,11.5,Arid Soil
6.99,0.35,83.1,98.7,225.7,31.5,28.3,46.6,Red Soil
7.77,1.13,134.1,113.1,352.8,12.1,25.9,63.5,Black Soil
5.48,1,150,150.8,234.4,19.4,45.6,22.8,Forest Soil
7.95,0.15,59.7,62.9,169.1,77.7,11,12,Arid Soil
5.27,0.47,85,70.9,119.5,20.9,19,67.6,Laterite Soil
5.89,0.54,92,72.3,226.6,35.1,26.8,45.9,Red Soil
4.34,2.14,310.7,189,258,5.1,23.3,64.7,Peaty Soil
8.38,0.28,47.1,75.6,158.4,77.9,6.8,6.7,Arid Soil
7.88,1,139.4,94.7,368.1,14.2,23,65.6,Black Soil
4.24,2.25,334.8,162.1,237.9,14,27.1,63.7,Peaty Soil
6.83,0.4,86.2,87.7,206,30.7,27.4,47.2,Red Soil
6.74,0.32,102.1,94.7,193.6,38.3,28.4,42.1,Red Soil
8.96,0.28,52.9,67.9,209.8,51,16.2,24.6,Saline Soil
5.74,1.43,175.7,171.8,231.3,23.8,59.2,27.8,Forest Soil
6.33,0.59,91.5,92.4,225.2,31.8,27.8,49.3,Red Soil
5.16,1.06,214.3,126,257.1,15.3,59.3,27.8,Forest Soil
5.37,1.01,244.3,126.3,275.2,17.4,49.5,25,Forest Soil
5.5,1.41,197.5,162.3,210,21.9,59.2,23,Forest Soil
5.78,0.47,79.6,77,147.8,21.1,16.3,57.8,Laterite Soil
5.14,0.42,82.5,69.3,157.7,25.4,14.7,57.8,Laterite Soil
8.51,0.22,64.3,58.7,172.8,54.9,20.8,19.2,Saline Soil
6.72,0.37,114.4,73.4,196,32.3,29.5,40.6,Red Soil
8.18,0.28,64.3,73.2,181.8,76.3,14.5,11,Arid Soil
5.95,2.94,323.1,218.1,254.4,9.2,25.4,62,Peaty Soil
8.47,0.14,43.2,59.5,186.1,70.2,9.1,13.7,Arid Soil
4.82,0.31,60.4,68,146.5,20.4,12.9,53.5,Laterite Soil
7.32,0.81,128.6,244.7,314.4,30.8,40.1,25.2,Alluvial Soil
5.5,1.79,153.3,159.9,265.7,22.3,50,25.5,Forest Soil
8.29,0.12,60.4,46.8,189.6,61.1,16.4,22.9,Saline Soil
6.33,0.33,96.2,77.4,240,35.8,28.3,45.9,Red Soil
8.27,1.18,122.9,114.9,347,19.1,27.4,74,Black Soil
4.7,0.34,87.9,73.7,139.4,27.4,14.5,67.1,Laterite Soil
8.39,0.2,43.4,55.9,185.2,83.8,9.7,10.4,Arid Soil
5.6,0.39,83.3,55.4,137.3,20.3,17.7,68,Laterite Soil
6.17,0.32,98.9,74.2,213.6,37.8,28.6,42.3,Red Soil
5.78,0.44,114.8,92.1,211.5,38.2,20.4,47.8,Red Soil
4.92,2.01,274,176.4,278.5,11.5,27.2,66.6,Peaty Soil
5.68,0.3,102.7,81.2,182.2,30.8,26.6,45,Red Soil
8.12,0.16,40.2,77.5,159.6,84.6,11.1,11,Arid Soil
6.11,1.19,241.9,125.4,222.8,18.7,55.1,29.8,Forest Soil
6.7,0.55,101.4,72,193.2,36.9,28.4,49.1,Red Soil
4.83,2.02,340.3,246.4,266.5,12.5,26,74.9,Peaty Soil
6.59,0.75,125.8,208.2,274.6,37.4,35.6,26.3,Alluvial Soil
7.24,0.62,155,284.6,310.4,35.5,42.2,26.1,Alluvial Soil
8.48,0.24,50.2,46.4,193.1,53.3,17.1,21.5,Saline Soil
5.91,0.22,76.8,66,103.2,26.5,11.3,55.3,Laterite Soil
8.06,0.23,63.7,73.2,178,82.5,6.4,7.3,Arid Soil
7.59,0.9,135,113.8,354.7,14.1,21.9,61.4,Black Soil
5.31,1.99,204.7,127,278.2,21.6,59.8,25.5,Forest Soil
5.48,0.36,82.1,78.3,128.4,24.1,18.2,62.4,Laterite Soil
6.91,0.45,110.2,84.9,188.2,35.1,29,43.6,Red Soil
6.33,1.12,202.9,167.3,278.8,22.3,55.2,27.3,Forest Soil
7.42,0.65,163,229.1,297.2,31.3,44.2,22.7,Alluvial Soil
6.72,0.67,179.7,246.5,261.8,33.6,42.7,20.2,Alluvial Soil
8.29,0.29,55.3,79.2,152.8,72.2,7.1,6.2,Arid Soil
6.65,0.79,173.4,209.3,299.4,37.8,37.3,20.4,Alluvial Soil
6.24,0.48,86.6,75.5,230.5,35.3,27.2,42.4,Red Soil
6.62,0.69,179.9,293.2,267.2,33.4,40.6,26.5,Alluvial Soil
5.2,0.47,76.1,63.5,129.3,21,18.6,66.2,Laterite Soil
8.88,0.24,72.3,59.2,192.3,54.9,17.3,18.9,Saline Soil
5.54,1.6,160.2,127.6,224.5,18.3,50.8,22.4,Forest Soil
7.09,0.83,148.2,238.8,252.7,33.3,44.5,26,Alluvial Soil
8.36,0.16,57.6,53.5,161.9,73.6,6.7,9.2,Arid Soil
5.61,1.53,220.3,179.2,219.8,24.5,42.7,24.8,Forest Soil
7.66,0.13,57.1,58.9,157.5,70.2,13.7,6,Arid Soil
5.22,2.07,318.8,171.6,286.3,11.8,25.3,67.9,Peaty Soil
8.3,0.21,62.5,70.2,195.2,72.8,14.7,10,Arid Soil
8.89,0.28,50,51.7,207.9,57,22.6,18.9,Saline Soil
7.94,0.25,41.9,74,151,71.8,12.1,12,Arid Soil
5.02,1.49,238.7,179.8,267,21.4,56.8,24.8,Forest Soil
5.31,2.4,326.5,192.2,251.2,6.9,21.2,69.8,Peaty Soil
4.56,2.87,329.4,247.9,295.8,8.9,21.5,70.9,Peaty Soil
5.46,0.27,77.1,69.6,110.4,22.9,15.9,61.2,Laterite Soil
8.14,0.29,76.1,42.4,171.8,53,15.5,22.9,Saline Soil
5.59,1.82,179.4,178.3,238.8,21.4,57.9,25.3,Forest Soil
5.15,2.2,344.2,225.6,240.1,9.3,23,67.8,Peaty Soil
6.19,1.45,174.9,159.1,238.8,19.3,44.3,29.7,Forest Soil
8.05,1.18,124.3,105.9,318,17.6,29,69.1,Black Soil
5.33,1.49,196.7,155.2,261.9,20.3,53.9,28.8,Forest Soil
8.35,1.06,121.1,89.8,382.4,19.4,28.6,62.8,Black Soil
7.87,0.13,48.4,71.4,177.6,80.9,13.1,13.2,Arid Soil
5.29,1.57,151.9,142.1,221.1,22.6,53.4,28.7,Forest Soil
5.08,2.91,302.7,239.9,210.9,7,22.4,74.4,Peaty Soil
6.57,0.64,169.6,243.9,286.9,38.2,39.6,28.2,Alluvial Soil
7.92,0.29,69.2,52.3,170.9,83.6,11.6,6.2,Arid Soil
8.37,0.17,51.5,55.4,200.1,64.7,16.3,22.9,Saline Soil
6.45,1.65,150.8,133.5,224.1,22.2,50.8,21.1,Forest Soil
5.67,0.57,96.6,70.2,181.5,31.5,26.2,48.3,Red Soil
5.48,1.64,249.3,123.3,252.8,20.1,53.9,22,Forest Soil
8.65,0.24,54.3,52,174.4,55.3,21.1,21.9,Saline Soil
8.65,0.17,58.2,48.9,193.5,58.6,21.7,22.5,Saline Soil
8.14,0.22,62.5,61.3,164.4,77.8,12.6,12.1,Arid Soil
8.16,1.18,104.5,109.7,369.7,11.5,26.2,73.6,Black Soil
5.76,0.55,105.1,79.9,199.1,39.8,23.4,46,Red Soil
5.51,0.55,119.5,86.7,207,38.6,20.9,45.2,Red Soil
7.51,0.2,60.7,67.4,163.2,78.8,10.2,13.4,Arid Soil
5.39,0.27,71.9,73.6,140.1,22,11.3,62.9,Laterite Soil
6.19,1.24,205.8,125.3,269.6,21.1,58,27.5,Forest Soil
5.51,0.32,112.2,76.7,214.9,32.2,28.4,42.3,Red Soil
5.3,0.43,66.7,55.4,106.9,25.4,20,51.7,Laterite Soil
6.57,0.55,105.9,89.8,240.9,31.4,26.4,43.9,Red Soil
5.44,0.29,85.2,70.2,140.5,22.5,13.8,60.4,Laterite Soil
5.82,0.38,88.8,73.3,148.9,22,10.4,57.3,Laterite Soil
8.19,0.26,74.3,68.5,156.7,58.6,19.4,16.5,Saline Soil
6.27,0.33,113.3,83.2,191,35.1,21.8,48.2,Red Soil
8.11,0.25,67.6,43.9,180.7,50.3,21,19.3,Saline Soil
5.81,2.67,349.8,242.5,284.3,10.6,25.1,64.2,Peaty Soil
5.38,0.3,86.4,65,137.6,29.7,18.2,56.8,Laterite Soil
5.89,1.83,219.5,134.1,247.4,23.5,50.6,28.6,Forest Soil
8.95,0.15,66.4,65.7,153.2,60.4,24.1,21.9,Saline Soil
6.5,0.81,121.3,207.7,344,30.6,38.3,28.6,Alluvial Soil
4.55,0.34,85.9,58.7,112,22.4,14.4,63,Laterite Soil
8.16,0.27,40.3,55.9,153,76.3,7.1,6.8,Arid Soil
5.99,0.31,79.3,70.1,139.9,23.6,10.5,62.2,Laterite Soil
7.47,0.66,167.8,218.5,259.1,30.8,39,28.8,Alluvial Soil
8.03,0.14,51.9,59,181,70.2,14,9.3,Arid Soil
7.95,0.25,62.8,78.5,170.2,82.7,5.8,12.4,Arid Soil
4.49,2.78,265.9,239.2,238.9,13,23.9,69.2,Peaty Soil
8.36,1.15,119.5,114.2,341.3,15.4,27.8,61.6,Black Soil
6.1,1.69,217,152.6,266.7,24.6,47.1,26.6,Forest Soil
8.31,0.26,49.1,75.7,150.8,72.5,9.9,9.1,Arid Soil
8.63,0.1,74.2,60.4,185.1,55.9,15.2,19.1,Saline Soil
5.99,0.49,80.8,55.2,117.2,26,10,61,Laterite Soil
5.71,1.45,171.5,171.8,239.8,18.8,44.1,29.2,Forest Soil
6.9,0.89,174.1,255.1,340,35,35.6,22.8,Alluvial Soil
5.38,2.56,336.2,170.6,233.8,11.4,24.4,69.3,Peaty Soil
6.35,1.03,169,156,228.3,20.3,55.8,24.5,Forest Soil
8.13,1.17,138.8,108.6,324.8,10.8,28.3,72.3,Black Soil
4.55,0.28,76.7,76.9,157,25,12.6,62.4,Laterite Soil
5.4,0.21,77.9,75.4,126.6,25.5,14.8,60.8,Laterite Soil
5.44,1.51,186.8,153.5,264.7,22.8,43.7,24.1,Forest Soil
5.25,1.82,194.8,164.1,236.8,20.1,43.3,21.6,Forest Soil
8.01,0.2,79.9,57.6,153.3,62,22.9,24,Saline Soil
8.61,0.1,56.2,63.7,209.7,64.3,16.6,15.8,Saline Soil
6.58,0.8,157.4,246.2,328.1,39.3,42.7,22.7,Alluvial Soil
5.78,1.2,203.2,160.1,276.5,24.7,59,25.4,Forest Soil
7.86,1.11,112.1,114.1,315.8,16.4,27.1,60,Black Soil
6.87,0.3,80.8,90.2,189.4,33.3,28.1,42.5,Red Soil
6.63,0.49,111.3,91.3,207.8,37.3,27.2,45,Red Soil
8.19,0.29,62.4,65.8,163.8,72.3,12.5,7.8,Arid Soil
5.87,0.35,104.3,71,221.2,34.8,22.5,44,Red Soil
6.74,0.62,161.5,218.4,295.2,38.9,42,25.5,Alluvial Soil
